mes,Ventas_Millones
2020-01-01,19.2987
2020-02-01,22.8804
2020-03-01,28.5331
2020-04-01,39.4927
2020-05-01,31.9914
2020-06-01,26.8532
2020-07-01,26.925
2020-08-01,31.2073
2020-09-01,28.2
2020-10-01,17.6979
2020-11-01,35.2409
2020-12-01,22.5271
2021-01-01,23.5253
2021-02-01,30.9977
2021-03-01,37.9617
2021-04-01,40.1956
2021-05-01,20.379
2021-06-01,16.908
2021-07-01,34.9126
2021-08-01,25.8694
2021-09-01,31.4156
2021-10-01,27.0777
2021-11-01,27.3379
2021-12-01,31.2431
2022-01-01,34.3106
2022-02-01,32.4436
2022-03-01,31.1373
2022-04-01,20.7395
2022-05-01,21.0103
2022-06-01,22.5822
2022-07-01,14.8708
2022-08-01,26.8006
2022-09-01,30.9864
2022-10-01,19.5957
2022-11-01,28.6004
2022-12-01,19.1441
2023-01-01,19.7968
2023-02-01,19.6529
2023-03-01,18.0332
