mes,Ventas_Millones
2020-01-01,33.0843
2020-02-01,40.054
2020-03-01,31.5623
2020-04-01,33.6661
2020-05-01,38.5829
2020-06-01,26.2967
2020-07-01,35.0855
2020-08-01,31.1265
2020-09-01,30.2438
2020-10-01,21.1343
2020-11-01,19.8693
2020-12-01,28.2275
2021-01-01,25.554
2021-02-01,32.6177
2021-03-01,29.3485
2021-04-01,22.6373
2021-05-01,27.8021
2021-06-01,30.8101
2021-07-01,36.878
2021-08-01,34.8703
2021-09-01,44.5711
2021-10-01,27.536
2021-11-01,26.1712
2021-12-01,23.3245
2022-01-01,26.2333
2022-02-01,27.7999
2022-03-01,25.3667
2022-04-01,22.3844
2022-05-01,25.0978
2022-06-01,24.9845
2022-07-01,27.2514
2022-08-01,27.796
2022-09-01,37.111
2022-10-01,14.682
2022-11-01,23.6563
2022-12-01,34.2023
2023-01-01,28.9301
2023-02-01,37.2277
2023-03-01,37.103
