semana,Ventas_Millones
2019-12-30,3.6335
2020-01-06,5.7774
2020-01-13,4.4989
2020-01-20,4.5998
2020-01-27,6.4498
2020-02-03,7.646
2020-02-10,6.8394
2020-02-17,4.395
2020-02-24,7.5201
2020-03-02,5.4379
2020-03-09,4.5912
2020-03-16,9.3488
2020-03-23,10.3199
2020-03-30,6.1378
2020-04-06,7.8838
2020-04-13,9.4229
2020-04-20,7.5498
2020-04-27,4.6758
2020-05-04,5.409
2020-05-11,4.9876
2020-05-18,6.5408
2020-05-25,9.1864
2020-06-01,1.6572
2020-06-08,3.2729
2020-06-15,5.4717
2020-06-22,6.1446
2020-06-29,7.8885
2020-07-06,8.1699
2020-07-13,8.8608
2020-07-20,6.5526
2020-07-27,6.0954
2020-08-03,6.9231
2020-08-10,3.1325
2020-08-17,8.2977
2020-08-24,4.4758
2020-08-31,6.6419
2020-09-07,10.6524
2020-09-14,1.5023
2020-09-21,3.2923
2020-09-28,5.6521
2020-10-05,7.0019
2020-10-12,4.6166
2020-10-19,1.583
2020-10-26,4.3459
2020-11-02,1.931
2020-11-09,6.1937
2020-11-16,7.2057
2020-11-23,6.59
2020-11-30,4.9187
2020-12-07,6.0488
2020-12-14,11.0364
2020-12-21,9.336
2020-12-28,5.9214
2021-01-04,3.818
2021-01-11,6.9282
2021-01-18,4.4771
2021-01-25,4.8821
2021-02-01,7.0576
2021-02-08,3.5251
2021-02-15,6.9944
2021-02-22,2.6833
2021-03-01,9.1182
2021-03-08,5.9125
2021-03-15,5.0634
2021-03-22,6.6962
2021-03-29,4.9717
2021-04-05,9.7466
2021-04-12,6.3795
2021-04-19,2.795
2021-04-26,5.3335
2021-05-03,2.1297
2021-05-10,6.2878
2021-05-17,7.4141
2021-05-24,7.4073
2021-05-31,7.7974
2021-06-07,4.4036
2021-06-14,6.2806
2021-06-21,4.7915
2021-06-28,11.3066
2021-07-05,5.4431
2021-07-12,5.0859
2021-07-19,7.8541
2021-07-26,6.7882
2021-08-02,7.7168
2021-08-09,4.5816
2021-08-16,6.4422
2021-08-23,9.6061
2021-08-30,6.8203
2021-09-06,3.5423
2021-09-13,3.6083
2021-09-20,4.1673
2021-09-27,3.9365
2021-10-04,9.7672
2021-10-11,9.0461
2021-10-18,6.0725
2021-10-25,8.9955
2021-11-01,12.9545
2021-11-08,8.6032
2021-11-15,19.2445
2021-11-22,6.9018
2021-11-29,12.2051
2021-12-06,6.3459
2021-12-13,6.2443
2021-12-20,12.2645
2021-12-27,14.4785
2022-01-03,10.9255
2022-01-10,12.4551
2022-01-17,7.3642
2022-01-24,5.5941
2022-01-31,4.7263
2022-02-07,4.3698
2022-02-14,9.6146
2022-02-21,6.9756
2022-02-28,7.0435
2022-03-07,5.4376
2022-03-14,3.9707
2022-03-21,6.2504
2022-03-28,5.5837
2022-04-04,1.9518
2022-04-11,7.3102
2022-04-18,7.7723
2022-04-25,8.2472
2022-05-02,7.9976
2022-05-09,8.8322
2022-05-16,9.1309
2022-05-23,3.7777
2022-05-30,4.6347
2022-06-06,5.3008
2022-06-13,7.8342
2022-06-20,5.3006
2022-06-27,9.3626
2022-07-04,4.0695
2022-07-11,10.3763
2022-07-18,6.8645
2022-07-25,4.1099
2022-08-01,5.0091
2022-08-08,6.0082
2022-08-15,8.3085
2022-08-22,8.2458
2022-08-29,3.6792
2022-09-05,7.4304
2022-09-12,5.6739
2022-09-19,9.3727
2022-09-26,6.312
2022-10-03,4.8698
2022-10-10,6.4132
2022-10-17,3.8774
2022-10-24,9.8537
2022-10-31,8.5246
2022-11-07,5.7157
2022-11-14,6.4922
2022-11-21,8.4063
2022-11-28,3.5208
2022-12-05,6.4155
2022-12-12,9.7314
2022-12-19,8.5732
2022-12-26,3.1095
2023-01-02,6.5767
2023-01-09,5.7226
2023-01-16,4.0865
2023-01-23,3.9894
2023-01-30,4.7891
2023-02-06,6.1297
2023-02-13,4.0733
2023-02-20,2.0281
2023-02-27,5.4576
2023-03-06,3.8271
2023-03-13,4.3512
2023-03-20,7.9208
2023-03-27,3.1586
