mes,Ventas_Millones
2020-01-01,23.7829
2020-02-01,27.577
2020-03-01,30.0244
2020-04-01,35.3435
2020-05-01,26.1238
2020-06-01,17.4643
2020-07-01,33.6028
2020-08-01,25.8756
2020-09-01,26.6686
2020-10-01,18.5572
2020-11-01,22.8681
2020-12-01,33.8193
2021-01-01,22.6623
2021-02-01,20.2604
2021-03-01,27.9701
2021-04-01,24.7919
2021-05-01,26.4935
2021-06-01,32.154
2021-07-01,26.5933
2021-08-01,34.8638
2021-09-01,14.1136
2021-10-01,36.329
2021-11-01,49.0815
2021-12-01,47.641
2022-01-01,40.7684
2022-02-01,24.6226
2022-03-01,23.8923
2022-04-01,28.3645
2022-05-01,31.9257
2022-06-01,25.3981
2022-07-01,30.7323
2022-08-01,27.7965
2022-09-01,29.3523
2022-10-01,27.9051
2022-11-01,29.9637
2022-12-01,29.7168
2023-01-01,22.4489
2023-02-01,17.7528
2023-03-01,22.7177
