semana,Ventas_Millones
2019-12-30,5.872
2020-01-06,7.034
2020-01-13,9.317
2020-01-20,5.455
2020-01-27,7.1425
2020-02-03,12.7866
2020-02-10,5.2861
2020-02-17,16.5626
2020-02-24,4.7875
2020-03-02,7.0
2020-03-09,6.2478
2020-03-16,10.7426
2020-03-23,5.6038
2020-03-30,6.0126
2020-04-06,7.9377
2020-04-13,10.7125
2020-04-20,4.9003
2020-04-27,7.3916
2020-05-04,6.3494
2020-05-11,13.8045
2020-05-18,6.2208
2020-05-25,9.7827
2020-06-01,4.4346
2020-06-08,5.4576
2020-06-15,4.6849
2020-06-22,6.0894
2020-06-29,9.5473
2020-07-06,2.2875
2020-07-13,13.8087
2020-07-20,11.1004
2020-07-27,4.5781
2020-08-03,3.9406
2020-08-10,5.8438
2020-08-17,8.4996
2020-08-24,9.5886
2020-08-31,8.8935
2020-09-07,9.7345
2020-09-14,9.4237
2020-09-21,3.4541
2020-09-28,4.5775
2020-10-05,1.3727
2020-10-12,9.8242
2020-10-19,3.5636
2020-10-26,4.6512
2020-11-02,2.723
2020-11-09,7.1295
2020-11-16,4.4586
2020-11-23,4.0889
2020-11-30,3.3063
2020-12-07,7.024
2020-12-14,8.9926
2020-12-21,5.8677
2020-12-28,6.9636
2021-01-04,6.3562
2021-01-11,2.3226
2021-01-18,3.1587
2021-01-25,9.7898
2021-02-01,10.3385
2021-02-08,7.3595
2021-02-15,4.3914
2021-02-22,10.5283
2021-03-01,6.7974
2021-03-08,7.5978
2021-03-15,5.4015
2021-03-22,8.8462
2021-03-29,2.1873
2021-04-05,7.3773
2021-04-12,2.3609
2021-04-19,5.8726
2021-04-26,7.5071
2021-05-03,6.8653
2021-05-10,10.788
2021-05-17,6.0263
2021-05-24,2.1602
2021-05-31,5.8719
2021-06-07,5.5943
2021-06-14,9.7984
2021-06-21,6.0407
2021-06-28,12.6219
2021-07-05,9.1562
2021-07-12,6.3253
2021-07-19,5.43
2021-07-26,8.0298
2021-08-02,7.339
2021-08-09,6.8185
2021-08-16,11.1918
2021-08-23,8.3406
2021-08-30,9.0394
2021-09-06,10.2992
2021-09-13,7.639
2021-09-20,12.9481
2021-09-27,8.9146
2021-10-04,7.5326
2021-10-11,5.7302
2021-10-18,5.0545
2021-10-25,4.9495
2021-11-01,6.577
2021-11-08,7.9165
2021-11-15,4.1699
2021-11-22,3.1104
2021-11-29,10.7389
2021-12-06,5.5842
2021-12-13,4.1654
2021-12-20,4.5029
2021-12-27,4.2409
2022-01-03,7.9412
2022-01-10,6.7865
2022-01-17,5.628
2022-01-24,4.2384
2022-01-31,3.2861
2022-02-07,10.7909
2022-02-14,3.305
2022-02-21,10.4537
2022-02-28,4.1057
2022-03-07,5.335
2022-03-14,5.3216
2022-03-21,7.8325
2022-03-28,5.807
2022-04-04,3.6665
2022-04-11,3.6264
2022-04-18,7.4931
2022-04-25,6.3985
2022-05-02,6.8345
2022-05-09,6.8156
2022-05-16,5.5188
2022-05-23,3.2088
2022-05-30,7.0491
2022-06-06,5.8721
2022-06-13,7.1102
2022-06-20,5.3346
2022-06-27,5.2871
2022-07-04,6.2996
2022-07-11,6.6035
2022-07-18,7.1078
2022-07-25,2.5498
2022-08-01,5.7334
2022-08-08,7.6801
2022-08-15,5.9536
2022-08-22,7.767
2022-08-29,7.3337
2022-09-05,12.186
2022-09-12,6.5286
2022-09-19,6.8026
2022-09-26,5.7597
2022-10-03,2.9293
2022-10-10,3.2749
2022-10-17,2.718
2022-10-24,4.421
2022-10-31,4.4892
2022-11-07,9.9568
2022-11-14,5.8836
2022-11-21,3.2368
2022-11-28,6.9653
2022-12-05,5.5161
2022-12-12,5.9737
2022-12-19,7.829
2022-12-26,9.1703
2023-01-02,3.897
2023-01-09,7.2763
2023-01-16,11.5979
2023-01-23,4.3107
2023-01-30,10.4545
2023-02-06,5.9566
2023-02-13,6.0912
2023-02-20,13.1024
2023-02-27,8.5617
2023-03-06,6.9236
2023-03-13,10.7718
2023-03-20,8.5268
2023-03-27,5.1292
